id,location_code,province,amphoe,subdistrict,zip_code,node
1,100101,กรุงเทพมหานคร,เขตพระนคร,พระบรมมหาราชวัง,10200,
2,100102,กรุงเทพมหานคร,เขตพระนคร,วังบูรพาภิรมย์,10200,
3,100103,กรุงเทพมหานคร,เขตพระนคร,วัดราชบพิธ,10200,
4,100104,กรุงเทพมหานคร,เขตพระนคร,สำราญราษฎร์,10200,
5,100105,กรุงเทพมหานคร,เขตพระนคร,ศาลเจ้าพ่อเสือ,10200,
6,100106,กรุงเทพมหานคร,เขตพระนคร,เสาชิงช้า,10200,
7,100107,กรุงเทพมหานคร,เขตพระนคร,บวรนิเวศ,10200,
8,100108,กรุงเทพมหานคร,เขตพระนคร,ตลาดยอด,10200,
9,100109,กรุงเทพมหานคร,เขตพระนคร,ชนะสงคราม,10200,
10,100110,กรุงเทพมหานคร,เขตพระนคร,บ้านพานถม,10200,
11,100111,กรุงเทพมหานคร,เขตพระนคร,บางขุนพรหม,10200,
12,100112,กรุงเทพมหานคร,เขตพระนคร,วัดสามพระยา,10200,
13,100201,กรุงเทพมหานคร,เขตดุสิต,ดุสิต,10300,
14,100202,กรุงเทพมหานคร,เขตดุสิต,วชิรพยาบาล,10300,
15,100203,กรุงเทพมหานคร,เขตดุสิต,สวนจิตรลดา,10300,ยกเว้น พระราชวังดุสิต สวนจิตรลดา ใช้รหัสไปรษณีย์ 10303
16,100204,กรุงเทพมหานคร,เขตดุสิต,สี่แยกมหานาค,10300,
17,100206,กรุงเทพมหานคร,เขตดุสิต,ถนนนครไชยศรี,10300,
18,100301,กรุงเทพมหานคร,เขตหนองจอก,กระทุ่มราย,10530,
19,100302,กรุงเทพมหานคร,เขตหนองจอก,หนองจอก,10530,
20,100303,กรุงเทพมหานคร,เขตหนองจอก,คลองสิบ,10530,
21,100304,กรุงเทพมหานคร,เขตหนองจอก,คลองสิบสอง,10530,
22,100305,กรุงเทพมหานคร,เขตหนองจอก,โคกแฝด,10530,
23,100306,กรุงเทพมหานคร,เขตหนองจอก,คู้ฝั่งเหนือ,10530,
24,100307,กรุงเทพมหานคร,เขตหนองจอก,ลำผักชี,10530,
25,100308,กรุงเทพมหานคร,เขตหนองจอก,ลำต้อยติ่ง,10530,
26,100401,กรุงเทพมหานคร,เขตบางรัก,มหาพฤฒาราม,10500,
27,100402,กรุงเทพมหานคร,เขตบางรัก,สีลม,10500,
28,100403,กรุงเทพมหานคร,เขตบางรัก,สุริยวงศ์,10500,
29,100404,กรุงเทพมหานคร,เขตบางรัก,บางรัก,10500,ยกเว้น หน่วยงานของ ปณท ที่ตั้งในบริเวณ ไปรษณีย์กลาง ใช้รหัสไปรษณีย์ 10501
30,100405,กรุงเทพมหานคร,เขตบางรัก,สี่พระยา,10500,
31,100502,กรุงเทพมหานคร,เขตบางเขน,อนุสาวรีย์,10220,
32,100508,กรุงเทพมหานคร,เขตบางเขน,ท่าแร้ง,10220,ยกเว้น หมู่ 8-10 ท่าแร้ง ใช้รหัสไปรษณีย์ 10230
33,100601,กรุงเทพมหานคร,เขตบางกะปิ,คลองจั่น,10240,ยกเว้น หมู่บ้านเสรี ใช้รหัสไปรษณีย์ 10250
34,100608,กรุงเทพมหานคร,เขตบางกะปิ,หัวหมาก,10240,
35,100701,กรุงเทพมหานคร,เขตปทุมวัน,รองเมือง,10330,
36,100702,กรุงเทพมหานคร,เขตปทุมวัน,วังใหม่,10330,
37,100703,กรุงเทพมหานคร,เขตปทุมวัน,ปทุมวัน,10330,
38,100704,กรุงเทพมหานคร,เขตปทุมวัน,ลุมพินี,10330,
39,100801,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,ป้อมปราบ,10100,
40,100802,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,10100,
41,100803,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,คลองมหานาค,10100,
42,100804,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,บ้านบาตร,10100,
43,100805,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,วัดโสมนัส,10100,
44,100905,กรุงเทพมหานคร,เขตพระโขนง,บางจาก,10260,
45,101001,กรุงเทพมหานคร,เขตมีนบุรี,มีนบุรี,10510,
46,101002,กรุงเทพมหานคร,เขตมีนบุรี,แสนแสบ,10510,
47,101101,กรุงเทพมหานคร,เขตลาดกระบัง,ลาดกระบัง,10520,
48,101102,กรุงเทพมหานคร,เขตลาดกระบัง,คลองสองต้นนุ่น,10520,
49,101103,กรุงเทพมหานคร,เขตลาดกระบัง,คลองสามประเวศ,10520,
50,101104,กรุงเทพมหานคร,เขตลาดกระบัง,ลำปลาทิว,10520,
51,101105,กรุงเทพมหานคร,เขตลาดกระบัง,ทับยาว,10520,
52,101106,กรุงเทพมหานคร,เขตลาดกระบัง,ขุมทอง,10520,
53,101203,กรุงเทพมหานคร,เขตยานนาวา,ช่องนนทรี,10120,
54,101204,กรุงเทพมหานคร,เขตยานนาวา,บางโพงพาง,10120,
55,101301,กรุงเทพมหานคร,เขตสัมพันธวงศ์,จักรวรรดิ,10100,
56,101302,กรุงเทพมหานคร,เขตสัมพันธวงศ์,สัมพันธวงศ์,10100,
57,101303,กรุงเทพมหานคร,เขตสัมพันธวงศ์,ตลาดน้อย,10100,
58,101401,กรุงเทพมหานคร,เขตพญาไท,สามเสนใน,10400,
59,101501,กรุงเทพมหานคร,เขตธนบุรี,วัดกัลยาณ์,10600,
60,101502,กรุงเทพมหานคร,เขตธนบุรี,หิรัญรูจี,10600,
61,101503,กรุงเทพมหานคร,เขตธนบุรี,บางยี่เรือ,10600,
62,101504,กรุงเทพมหานคร,เขตธนบุรี,บุคคโล,10600,
63,101505,กรุงเทพมหานคร,เขตธนบุรี,ตลาดพลู,10600,
64,101506,กรุงเทพมหานคร,เขตธนบุรี,ดาวคะนอง,10600,
65,101507,กรุงเทพมหานคร,เขตธนบุรี,สำเหร่,10600,
66,101601,กรุงเทพมหานคร,เขตบางกอกใหญ่,วัดอรุณ,10600,
67,101602,กรุงเทพมหานคร,เขตบางกอกใหญ่,วัดท่าพระ,10600,
68,101701,กรุงเทพมหานคร,เขตห้วยขวาง,ห้วยขวาง,10310,
69,101702,กรุงเทพมหานคร,เขตห้วยขวาง,บางกะปิ,10310,
70,101704,กรุงเทพมหานคร,เขตห้วยขวาง,สามเสนนอก,10310,
71,101801,กรุงเทพมหานคร,เขตคลองสาน,สมเด็จเจ้าพระยา,10600,
72,101802,กรุงเทพมหานคร,เขตคลองสาน,คลองสาน,10600,
73,101803,กรุงเทพมหานคร,เขตคลองสาน,บางลำภูล่าง,10600,
74,101804,กรุงเทพมหานคร,เขตคลองสาน,คลองต้นไทร,10600,
75,101901,กรุงเทพมหานคร,เขตตลิ่งชัน,คลองชักพระ,10170,
76,101902,กรุงเทพมหานคร,เขตตลิ่งชัน,ตลิ่งชัน,10170,
77,101903,กรุงเทพมหานคร,เขตตลิ่งชัน,ฉิมพลี,10170,
78,101904,กรุงเทพมหานคร,เขตตลิ่งชัน,บางพรม,10170,
